1,2024-05-07,18,134,87,7499397,1,782.3210503303783
2,2024-05-20,47,66,382,6874110,8,923.7999374759664
3,2024-05-29,70,393,474,7304526,5,964.0149999280587
4,2024-05-15,57,964,282,6858560,9,19.232250915141773
5,2024-05-11,93,365,327,5021119,3,958.5726233048724
6,2024-05-08,19,279,252,7709884,2,742.7924749383216
7,2024-05-29,97,758,74,3101778,7,93.20972994116424
8,2024-05-21,65,363,453,8118655,7,421.08806409093916
9,2024-05-07,3,749,47,7293748,5,703.0450198337139
10,2024-05-26,42,171,76,5573240,7,957.1186377344388
11,2024-05-19,21,51,96,8324715,6,172.49997967527864
12,2024-05-23,99,328,426,9812409,9,136.45594910768443
13,2024-05-11,40,871,31,7688491,3,477.62358272925974
14,2024-05-11,67,665,22,2030593,4,968.4179048011043
15,2024-05-24,25,592,17,8796728,9,971.6654231054304
16,2024-05-21,55,931,212,6714873,8,235.63559364238023
17,2024-05-04,84,145,148,4122971,6,326.1536764917428
18,2024-05-08,52,274,235,5440826,3,908.951665788208
19,2024-05-24,44,155,392,3594171,9,737.4930759435435
20,2024-05-03,98,911,495,9135098,9,972.5932643710421
21,2024-05-22,85,508,354,3238997,6,894.2168793853988
22,2024-05-21,56,849,305,8270556,2,222.9450898106059
23,2024-05-02,55,363,87,9448201,7,762.1295908185565
24,2024-05-24,87,325,38,6852640,9,58.07957924451544
25,2024-05-12,70,848,53,5352708,9,819.6544509540593
26,2024-05-30,77,655,28,5501036,3,605.541194820162
27,2024-05-06,87,298,77,2139067,2,956.5399530100971
28,2024-05-02,73,494,413,3675238,5,960.4321309143877
29,2024-05-28,81,546,200,8261095,7,60.306957934111715
30,2024-05-21,66,304,395,7217370,3,168.91627070021016
31,2024-05-01,19,467,431,5536189,4,489.36497684550466
32,2024-05-12,83,904,173,5201965,2,880.6985896966877
33,2024-05-26,7,239,274,5361565,2,816.3006908730958
34,2024-05-22,63,650,50,3459082,7,964.726326088261
35,2024-05-29,42,766,345,2868418,2,621.9032759402274
36,2024-05-12,42,517,177,5387405,1,263.9978843660044
37,2024-05-25,59,884,406,9343374,4,34.85557311012556
38,2024-05-17,20,176,301,3655794,6,230.69722581334344
39,2024-05-27,73,885,445,3443625,4,678.5204659740883
40,2024-05-27,17,410,227,9395112,1,927.0120751095831
41,2024-05-10,27,726,127,8107699,1,327.69463063518214
42,2024-05-28,47,364,349,1966710,9,876.9472869864024
43,2024-05-28,2,23,21,6207090,1,400.94926585774493
44,2024-05-16,63,318,199,6994749,7,315.18853687486484
45,2024-05-15,62,525,189,7546392,7,513.7558003777599
46,2024-05-30,19,905,332,8432764,1,447.85075748551907
47,2024-05-30,17,753,420,3872288,1,914.661869831848
48,2024-05-15,69,276,152,7793162,6,473.57437793404523
49,2024-05-30,39,604,160,2545152,8,284.56203335084473
50,2024-05-19,82,620,347,3332510,7,844.1399217268846
51,2024-05-12,71,953,480,5331517,6,998.7620165429711
52,2024-05-23,81,229,443,1327124,3,651.6897049895107
53,2024-05-20,39,664,96,1861129,7,257.95675524699504
54,2024-05-25,36,108,352,3753583,6,246.4269262430475
55,2024-05-03,40,801,474,9480085,8,67.12962925310721
